variedad;codigo;planta_bulk;fecha_ciclado;Ciclado;fecha_vidrio;SSR;1;2;3;4;5;5_1;6;7;8;1b9;1_1;1_2;2_1;9;10;11;12;13;14
NA 85-1602;106;B1;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 85-1602;106;P2;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 76-128;108;P5;17/2/2025;;18/2/2025;NKS26;0;1;1;1;1;;1;0;;;;;;;;;;;
NA 97-567;112;B1;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 97-567;112;P4;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 89-1090;114;P4;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 89-1090;114;B1;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 90-1001;115;B1;17/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 90-1001;115;P5;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 90-1001;115;B1;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 98-597;116;P3;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 98-597;116;P4;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 98-597;116;B1;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 02-2320;117;P3;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 02-2320;117;P1;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 02-2320;117;P2;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 84-3013;121;B1;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 84-3013;121;P9;17/2/2025;;18/2/2025;NKS26;0;0;0;1;0;;1;0;;;;;;;;;;;
Co 419;122;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
Co 419;122;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
LCP 85-384;125;P19;17/2/2025;;18/2/2025;NKS26;1;1;1;1;0;;1;0;;;;;;;;;;;
LCP 85-384;125;P8;17/2/2025;;18/2/2025;NKS26;1;1;1;1;0;;1;0;;;;;;;;;;;
LCP 85-384;125;P7;17/2/2025;;18/2/2025;NKS26;1;1;1;1;0;;1;0;;;;;;;;;;;
LCP 85-384;125;P1;17/2/2025;;18/2/2025;NKS26;1;1;1;1;0;;1;0;;;;;;;;;;;
TUC 77-42;130;P5;17/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
TUC 77-42;130;P5;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
TUC 77-42;130;B3;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
TUC 77-42;130;B2;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
CP 70-1133;131;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
CP 70-1133;131;B3;17/2/2025;;18/2/2025;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
CP 70-1133;131;B2;17/2/2025;;18/2/2025;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
FAM 83-264;141;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
FAM 83-264;141;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 88-1723;133;B1;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 88-1723;133;B2;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 88-1723;133;P6;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 04-1754;134;B2;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 04-1754;134;B1;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 90-1015;135;B1;28/2/2025;;5/3/2025;NKS26;0;1;1;1;1;;1;0;;;;;;;;;;;
FAM 87-101;137;B1;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
FAM 87-101;137;B3;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
FAM 87-101;137;P7;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
TUC 69-2;139;P8;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
TUC 69-2;139;B2;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
FAM 83-264;141;P7;28/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;0;;;;;;;;;;;
NA 86-1644;142;B1;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 86-1644;142;B2;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 83-2847;143;B1;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 83-2847;143;B2;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 70-1284;144;B2;28/2/2025;;5/3/2025;NKS26;0;0;1;1;0;;1;0;;;;;;;;;;;
SP 70-1284;144;B2;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 70-1284;144;P7;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 70-1284;144;B2;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
L 98-209;145;B2;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
L 98-209;145;P7;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 73-1454;150;P9;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 73-1454;150;B2;28/2/2025;;5/3/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
R570;151;B1;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
SP 70-1143;157;B1;28/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 85-1602;106;B1;24/4/2025;DUDA DE SIEMBRA;8/5/2025;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 03-559;100;B1;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 03-559;100;B2;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;B1;5/5/2025;;6/5/2025;mSSCIR1;0;0;0;0;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;P7;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;B2;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 12-1621;102;B1;5/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 85-1602;106;B2;5/5/2025;;6/5/2025;mSSCIR1;0;1;1;1;0;;0;1;0;;0;0;0;0;0;1;0;1;0
NA 85-1602;106;P4;5/5/2025;;6/5/2025;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 73-2596;107;P4;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 76-128;108;P2;5/5/2025;;6/5/2025;mSSCIR1;0;0;0;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 76-128;108;B1;5/5/2025;;6/5/2025;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;0;0;1;1;0;0
NA 76-128;108;B2;5/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 97-3152;110;B3;5/5/2025;;6/5/2025;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 97-567;112;P5;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 97-567;112;B2;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;1;0;0
NA 89-1090;114;B2;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 89-1090;114;B1;5/5/2025;;8/5/2025;mSSCIR1;0;1;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 90-1001;115;B1;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;1;0
NA 90-1001;115;B2;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 90-1001;115;P4;5/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 98-597;116;P4;5/5/2025;;6/5/2025;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;0;0;0;0;1;1
NA 98-597;116;B1;5/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 02-2320;117;B1;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;1;0;1
NA 02-2320;117;B2;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;1;0;0;1
NA 02-2320;117;P5;5/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 04-1613;119;B1;5/5/2025;;6/5/2025;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;0;0;0;1;0;0
NA 04-1613;119;B2;5/5/2025;1;6/5/2025;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;0;0;0;1;0;0
NA 04-1613;119;B2;5/5/2025;2;6/5/2025;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;0;0;0;0;0;0
NA 04-1613;119;B3;5/5/2025;;8/5/2025;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;1;1;0;0;0;0;0
NA 04-1613;119;B2;5/5/2025;;8/5/2025;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;1;1;0;0;0;0;0
NA 05-860;120;B3;5/5/2025;;6/5/2025;mSSCIR1;0;1;1;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 05-860;120;B2;5/5/2025;;6/5/2025;mSSCIR1;0;1;1;0;1;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 84-3013;121;B2;5/5/2025;;6/5/2025;mSSCIR1;0;0;0;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
LCP 85-384;125;B2;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;1;1;0
LCP 85-384;125;P3;5/5/2025;;6/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;1;1;0;0
LCP 85-384;125;P5;5/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
TUC 77-42;130;B1;5/5/2025;;6/5/2025;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;1;1;0;0
TUC 77-42;130;B3;5/5/2025;;6/5/2025;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;1;1;0;0
TUC 77-42;130;B2;5/5/2025;;6/5/2025;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;1;1;0;0
NA 03-559;100;P3;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 12-1621;102;P2;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 85-1602;106;B1;8/5/2025;;8/5/2025;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 85-1602;106;P3;8/5/2025;;8/5/2025;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 73-2596;107;B2;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;0;0;0
NA 73-2596;107;P2;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;0;0;0
NA 76-128;108;B1;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 76-128;108;B2;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 78-639;109;B1;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 78-639;109;B2;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 97-567;112;B2;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;1;0;0
NA 97-567;112;B1;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;1;0;0
NA 98-597;116;B2;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;1;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 04-1613;119;P2;8/5/2025;;8/5/2025;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;1;1;0;0;0;0;0
LCP 85-384;125;B2;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
LCP 85-384;125;P3;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
LCP 85-384;125;B1;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
TUC 77-42;130;P3;8/5/2025;;8/5/2025;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;0;0;0;0
NA 88-1723;133;B2;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 88-1723;133;B1;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;1;0;;0;1;0;;0;0;0;0;0;0;0;0;0
TUC 69-2;139;B2;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
TUC 69-2;139;B1;8/5/2025;;8/5/2025;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
TUC 77-42;130;B2;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
TUC 77-42;130;B2;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
TUC 77-42;130;B3;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
CP 70-1133;131;B1;4/2/2025;;6/2/2025;NKS22;0;1;0;0;0;;0;0;0;0;;;;;;;;;
CP 70-1133;131;B1;4/2/2025;;6/2/2025;NKS22;0;1;0;0;0;;0;0;0;0;;;;;;;;;
CP 70-1133;131;B2;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
CP 70-1133;131;B3;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 88-1723;133;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 88-1723;133;B2;4/2/2025;;6/2/2025;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 88-1723;133;P8;19/2/2025;;24/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 88-1723;133;P7;19/2/2025;;24/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 04-1754;134;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 04-1754;134;P8;19/2/2025;;24/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 04-1754;134;P3;19/2/2025;;24/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 90-1015;135;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
FAM 87-101;137;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
TUC 69-2;139;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 03-559;100;P2;22/1/2024;;23/1/2024;NKS38;0;1;1;1;1;0;0;0;1;;;;;;;;;;
TUC 69-2;139;P8;19/2/2025;;24/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 07-493;101;P2;22/1/2024;;23/1/2024;NKS38;1;1;0;1;1;0;0;0;0;;;;;;;;;;
TUC 69-2;139;P8;19/2/2025;;24/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 12-1621;102;P2;22/1/2024;;23/1/2024;NKS38;0;1;1;1;1;0;0;0;1;;;;;;;;;;
FAM 83-264;141;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;1;1;;0;0;0;0;;;;;;;;;
NA 05-2019;103;P2;22/1/2024;;23/1/2024;NKS38;0;1;1;1;1;0;0;0;0;;;;;;;;;;
FAM 83-264;141;P6;19/2/2025;;24/2/2025;NKS22;1;1;0;1;1;;0;0;0;0;;;;;;;;;
NA 84-3920;104;P2;22/1/2024;;23/1/2024;NKS38;1;1;1;0;1;0;0;0;0;;;;;;;;;;
FAM 83-264;141;P7;19/2/2025;;24/2/2025;NKS22;1;1;0;1;1;;1;0;0;0;;;;;;;;;
NA 87-146;105;P2;22/1/2024;;23/1/2024;NKS38;0;1;1;1;0;0;0;0;1;;;;;;;;;;
NA 86-1644;142;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 85-1602;106;P2;22/1/2024;;23/1/2024;NKS38;1;1;1;1;1;0;0;0;0;;;;;;;;;;
NA 86-1644;142;P8;19/2/2025;;24/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 73-2596;107;P2;22/1/2024;;23/1/2024;NKS38;0;1;1;1;1;0;0;0;1;;;;;;;;;;
NA 86-1644;142;P7;19/2/2025;;24/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 76-128;108;P2;22/1/2024;;23/1/2024;NKS38;0;1;1;1;0;0;0;0;1;;;;;;;;;;
SP 83-2847;143;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
