variedad,codigo,planta_bulk,fecha ciclado,fecha vidrio,SSR,1,2,3,4,5,6,7,8,1B/9,,
NA 03-559,100,P2,22/1/24,23/1/24,NKS22,1,1,0,1,1,0,1,0,0,,
NA 03-559,100,P2,30/1/24,31/1/24,NKS22,1,1,0,1,1,0,1,0,0,,
NA 07-493,101,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,1,1,0,0,,
NA 07-493,101,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,1,0,0,,
NA 12-1621,102,P2,22/1/24,23/1/24,NKS22,1,1,0,0,1,0,0,0,0,,
NA 12-1621,102,P2,30/1/24,31/1/24,NKS22,1,1,0,0,1,0,0,0,0,,
NA 05-2019,103,P2,22/1/24,23/1/24,NKS22,1,1,1,1,0,0,0,0,0,,
NA 05-2019,103,P2,30/1/24,31/1/24,NKS22,1,1,1,1,0,0,0,0,0,,
NA 05-2019,103,B1,11/2/2025,12/2/2025,NKS22,1,1,1,1,0,0,0,0,0,,
NA 84-3920,104,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 84-3920,104,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 84-3920,104,B1,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 87-146,105,P2,22/1/24,23/1/24,NKS22,1,1,0,0,0,0,0,0,0,,
NA 87-146,105,P2,30/1/24,31/1/24,NKS22,1,1,0,0,0,0,0,0,0,,
NA 85-1602,106,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 85-1602,106,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 85-1602,106,B1,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
NA 73-2596,107,P2,22/1/24,23/1/24,NKS22,1,1,0,0,0,1,0,0,0,,
NA 72-2596,107,P2,30/1/24,31/1/24,NKS22,1,1,0,0,0,1,0,0,0,,
NA 72-2596,107,B1,11/2/2025,12/2/2025,NKS22,1,1,0,0,0,1,0,0,0,,
NA 76-128,108,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 76-128,108,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,1,0,0,,7
NA 78-639,109,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 78-639,109,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,1,0,0,,
NA 97-3152,110,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 97-3152,110,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,1,0,0,,
NA 12-166,111,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 12-166,111,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 12-166,111,B2,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 97-567,112,P2,22/1/24,23/1/24,NKS22,1,1,0,1,0,0,1,0,0,,
NA 97-567,112,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,1,0,0,,
NA 96-2929,113,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,1,0,0,,
NA 89-1090,114,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,0,1,0,,
NA 90-1001,115,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 98-597,116,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,1,,
NA 02-2320,117,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 03-3300,118,P2,30/1/24,31/1/24,NKS22,0,1,1,0,0,0,0,0,0,,
NA 03-3300,118,B2,4/2/2025,6/2/2025,NKS22,1,1,1,0,0,0,0,0,0,,
NA 03-3300,118,B3,4/2/2025,6/2/2025,NKS22,1,1,1,0,0,0,0,0,0,,
NA 03-3300,118,B1,11/2/2025,12/2/2025,NKS22,1,1,1,0,0,0,0,0,0,,
NA 04-1613,119,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,1,0,0,0,,
NA 04-1613,119,B3,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,1,0,0,,
NA 04-1613,119,B1,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
NA 04-1613,119,B2,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
NA 05-860,120,P2,30/1/24,31/1/24,NKS22,1,1,0,1,0,0,0,0,0,,
NA 05-860,120,B1,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 05-860,120,B2,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 84-3013,121,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
Co 419,122,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
LSP 85-384,125,B1,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
LSP 85-384,125,P6,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
LSP 85-384,125,P7,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
TUC 77-42,130,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
TUC 77-42,130,B2,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
TUC 77-42,130,B3,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
TUC 77-42,130,B2,11/2/2025,12/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
CP 70-1133,131,B1,4/2/2025,6/2/2025,NKS22,0,1,0,0,0,0,0,0,0,,
CP 70-1133,131,B2,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
CP 70-1133,131,B1,4/2/2025,6/2/2025,NKS22,0,1,0,0,0,0,0,0,0,,
NA 88-1723,133,B2,4/2/2025,6/2/2025,NKS22,1,1,0,0,0,0,0,0,0,,
NA 88-1723,133,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 04-1754,134,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 90-1015,135,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
FAM 87-101,137,B1,4/2/2025,6/2/2025,NKS22,1,1,0,0,0,0,0,0,0,,
TUC 69-2,139,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
FAM 83-264,141,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,1,0,0,0,0,,
NA 86-1644,142,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
SP 83-2847,143,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,1,0,0,,
SP 70-1284,144,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,1,0,0,,
L 98-209,145,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
TUC 00-19,146,B1,4/2/2025,6/2/2025,NKS22,0,1,0,1,0,0,0,0,0,,
TUC 06-7,147,P1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
TUC 06-7,147,P2,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
TUC 00-65,148,P1,4/2/2025,6/2/2025,NKS22,0,1,0,1,0,0,0,0,0,,
TUC 03-12,149,B1,4/2/2025,6/2/2025,NKS22,0,1,0,1,0,0,0,0,0,,
NA 73-1454,150,B1,4/2/2025,6/2/2025,NKS22,0,1,0,1,0,1,0,0,0,,
33.3 A,152,P1,4/2/2025,6/2/2025,NKS22,1,1,0,1,1,1,0,0,0,,
33.3.B,153,P1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
R579 14.2,154,B1,4/2/2025,6/2/2025,NKS22,1,1,0,0,0,1,0,0,0,,
R570 14.2,154,P1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
R570 CIV,155,P1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
QAB 016,158,B2,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,0,0,0,0,,
NA 56-35,160,B1,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
NA 56-35,160,B2,4/2/2025,6/2/2025,NKS22,1,1,0,1,0,1,0,0,0,,
NA 03-559,100,P2,27/10/23,30/10/23,NKS26,1,0,1,1,0,1,0,,,,
NA 03-559,100,P2,27/10/23,31/10/23,NKS26,1,0,1,1,0,1,0,,,,
NA 03-559,100,P2,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,0,,,,
NA 03-559,100,P2,23/2/24,26/2/24,NKS26,1,0,1,1,0,1,0,,,,
NA 03-559,100,B1,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,0,,,,
NA 03-559,100,B2,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,0,,,,
NA 07-493,101,P2,27/10/23,30/10/23,NKS26,1,0,1,1,0,1,1,,,,
NA 07-493,101,P1,27/10/23,31/10/23,NKS26,1,0,1,1,0,1,1,,,,
NA 07-493,101,P1,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,1,,,,
NA 07-493,101,P1,23/2/24,26/2/24,NKS26,1,0,1,1,0,1,1,,,,
NA 07-493,101,B1,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,1,,,,
NA 07-493,101,B2,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,1,,,,
NA 12-1621,102,P2,27/10/23,30/10/23,NKS26,0,0,1,0,1,1,0,,,,
NA 12-1621,102,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,1,,,,
NA 12-1621,102,P1,30/1/24,31/1/24,NKS26,0,0,1,0,1,1,0,,,,
NA 12-1621,102,P1,23/2/24,26/2/24,NKS26,0,0,1,0,0,1,0,,,,
NA 05-2019,103,P2,27/10/23,30/10/23,NKS26,0,0,1,0,1,1,0,,,,
NA 05-2019,103,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,0,,,,
NA 05-2019,103,P1,30/1/24,31/1/24,NKS26,0,0,1,0,0,1,0,,,,
NA 05-2019,103,P1,23/2/24,26/2/24,NKS26,0,0,1,0,0,1,0,,,,
NA 84-3920,104,P2,27/10/23,30/10/23,NKS26,0,0,1,0,1,1,1,,,,
NA 84-3920,104,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,1,,,,
NA 84-3920,104,P1,30/1/24,31/1/24,NKS26,0,0,1,0,0,1,1,,,,
NA 84-3920,104,P1,23/2/24,26/2/24,NKS26,0,0,1,0,0,1,1,,,,
NA 87-146,105,P2,27/10/23,30/10/23,NKS26,0,0,1,0,1,1,0,,,,
NA 87-146,105,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,0,,,,
NA 87-146,105,P2,30/1/24,31/1/24,NKS26,0,0,0,0,1,1,0,,,,
NA 87-146,105,P3,23/2/24,26/2/24,NKS26,0,0,1,0,1,1,0,,,,
NA 87-146,105,P1,30/1/24,26/2/24,NKS26,0,0,1,0,1,1,0,,,,
NA 85-1602,106,P2,27/10/23,30/10/23,NKS26,0,0,1,0,1,1,0,,,,
NA 85-1602,106,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,0,,,,
NA 85-1602,106,P4,23/2/24,26/2/24,NKS26,0,1,1,0,1,1,0,,,,
NA 73-2596,107,P2,27/10/23,30/10/23,NKS26,0,0,1,1,1,1,1,,,,
NA 73-2596,107,P1,27/10/23,31/10/23,NKS26,0,0,1,1,1,1,1,,,,
NA 73-2596,107,P2,30/1/24,31/1/24,NKS26,0,0,1,1,1,1,1,,,,
NA 73-2596,107,P2,23/2/24,26/2/24,NKS26,0,1,1,1,1,1,1,,,,
NA 73-2596,107,P3,23/2/24,26/2/24,NKS26,0,1,1,1,1,1,1,,,,
NA 76-128,108,P2,27/10/23,30/10/23,NKS26,1,0,1,1,1,1,0,,,,
NA 76-128,108,P1,30/1/24,31/1/24,NKS26,0,0,1,1,1,1,0,,,,
NA 76-128,108,P3,23/2/24,26/2/24,NKS26,0,1,1,1,1,1,0,,,,
NA 78-639,109,P2,27/10/23,30/10/23,NKS26,0,0,1,0,0,1,1,,,,
NA 78-639,109,P1,27/10/23,31/10/23,NKS26,0,0,1,0,0,1,1,,,,
NA 78-639,109,P2,30/1/24,31/1/24,NKS26,0,0,1,0,0,1,1,,,,
NA 78-639,109,P3,23/2/24,26/2/24,NKS26,0,0,1,0,1,1,1,,,,
NA 78-639,109,B1,23/9/24,2/9/2024,NKS26,0,0,1,0,0,1,1,,,,
NA 78-639,109,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,1,1,,,,
NA 97-3152,110,P1,30/1/24,31/1/24,NKS26,0,0,1,1,0,1,1,,,,
NA 97-3152,110,P1,23/2/24,26/2/24,NKS26,1,0,1,1,0,1,1,,,,
NA 97-3152,110,B1,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,1,,,,
NA 97-3152,110,B2,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,1,,,,
NA 12-166,111,P1,30/1/24,31/1/24,NKS26,1,1,1,1,1,1,1,,,,
NA 12-166,111,B1,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,1,,,,
NA 12-166,111,B2,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,1,,,,
NA 97-567,112,P1,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,0,,,,
NA 97-567,112,P1,23/2/24,26/2/24,NKS26,1,0,1,1,0,1,0,,,,
NA 97-567,112,P1,19/1/24,26/2/24,NKS26,1,0,0,1,0,1,0,,,,
NA 96-2929,113,P1,30/1/24,31/1/24,NKS26,0,0,1,0,1,1,0,,,,
NA 96-2929,113,P1,23/2/24,26/2/24,NKS26,0,0,1,0,1,1,0,,,,
NA 96-2929,113,B1,28/8/24,2/9/2024,NKS26,0,0,1,0,1,1,0,,,,
NA 96-2929,113,B2,28/8/24,2/9/2024,NKS26,0,0,1,0,1,1,0,,,,
NA 96-2929,113,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,0,1,,,,
NA 96-2929,113,B2,23/9/24,25/9/24,NKS26,0,0,0,0,0,0,1,,,,
NA 89-1090,114,P1,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,0,,,,
NA 89-1090,114,P1,19/1/24,26/2/24,NKS26,0,0,0,0,1,1,0,,,,
NA 90-1001,115,P1,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,1,,,,
NA 90-1001,115,P1,23/2/24,26/2/24,NKS26,1,0,1,1,0,1,0,,,,
NA 98-597,116,P1,30/1/24,31/1/24,NKS26,0,1,1,1,0,1,0,,,,
NA 98-597,116,P1,23/2/24,26/2/24,NKS26,0,1,1,0,1,1,0,,,,
NA 02-2320,117,P1,30/1/24,31/1/24,NKS26,0,1,1,1,1,1,0,,,,
NA 02-2320,117,P1,23/2/24,26/2/24,NKS26,0,1,1,0,1,1,0,,,,
NA 03-3300,118,P1,30/1/24,31/1/24,NKS26,0,1,1,1,1,1,0,,,,
NA 03-3300,118,P1,19/1/24,26/2/24,NKS26,0,1,1,1,1,1,0,,,,
NA 03-3300,118,B1,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,0,,,,
NA 03-3300,118,B2,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,0,,,,
NA 04-1613,119,P1,30/1/24,31/1/24,NKS26,0,0,1,0,1,1,0,,,,
NA 04-1613,119,P1,19/1/24,26/2/24,NKS26,0,1,1,1,1,1,0,,,,
NA 04-1613,119,B1,23/9/24,25/9/24,NKS26,0,1,1,0,1,1,0,,,,
NA 04-1613,119,B2,23/9/24,25/9/24,NKS26,0,1,1,0,1,1,0,,,,
NA 05-860,120,P2,30/1/24,31/1/24,NKS26,0,0,1,1,0,1,0,,,,
NA 05-860,120,P3,23/2/24,26/2/24,NKS26,0,0,0,1,0,1,0,,,,
NA 05-860,120,B2,28/6/24,1/7/2024,NKS26,0,1,1,1,0,1,1,,,,
NA 05-860,120,B1,28/6/24,1/7/2024,NKS26,0,1,1,1,0,1,1,,,,
NA 05-860,120,B1,28/6/24,1/7/2024,NKS26,0,1,1,1,0,1,1,,,,
NA 05-860,120,B1,28/8/24,2/9/2024,NKS26,0,1,1,1,0,1,0,,,,
NA 05-860,120,B2,28/8/24,2/9/2024,NKS26,0,1,1,1,0,1,0,,,,
NA 05-860,120,B2,23/9/24,25/9/24,NKS26,1,0,0,1,0,1,0,,,,
Co 419,122,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,0,1,,,,
Co 419,122,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,1,0,,,,
LSP 85-384,125,B1,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,0,,,,
LSP 85-384,125,B2,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,0,,,,
R570,126,B1,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
R570,126,CONTROL,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
TUC 77-42,130,B1,23/9/24,25/9/24,NKS26,0,1,0,0,1,1,0,,,,
CP 70-1133,131,B2,23/9/24,25/9/24,NKS26,0,0,1,0,0,1,0,,,,
NA 04-1754,134,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,1,0,,,,
NA 90-1015,135,B1,23/9/24,25/9/24,NKS26,0,1,1,1,1,1,0,,,,
TUC 69-2,139,B1,23/9/24,25/9/24,NKS26,0,1,1,0,1,1,0,,,,
FAM 83-264,141,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,1,0,,,,
SP 70-1284,144,B1,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,0,,,,
L 98-209,145,B1,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,0,,,,
R570 6.5,151,P1,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
33.3A,152,P1,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
33.3B,153,P1,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
R570 14.2,154,P1,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
SP 70-1143,157,B1,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,0,,,,
QAB 016,158,P2,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P3,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P4,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P5,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P6,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P7,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P8,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P9,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P10,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P11,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P12,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P13,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P14,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P15,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P16,28/8/24,2/9/2024,NKS26,0,0,0,0,0,1,0,,,,
NA 18-2762,159,P1,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P2,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P3,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P4,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P5,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P6,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P7,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P8,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P9,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P10,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P11,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P12,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P13,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P14,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P15,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P16,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P17,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
NA 18-2762,159,P18,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
