variedad;codigo;planta_bulk;fecha ciclado;Ciclado;fecha vidrio;SSR;1;2;3;4;5;20;6;7;8;24;21;22;23;9;10;11;12;13;14
NA 85-1602;106;B1;24/04/25;DUDA DE SIEMBRA;08/05/25;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 03-559;100;B1;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 03-559;100;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;B1;05/05/25;;06/05/25;mSSCIR1;0;0;0;0;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;P7;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 07-493;101;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 12-1621;102;B1;05/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 85-1602;106;B2;05/05/25;;06/05/25;mSSCIR1;0;1;1;1;0;;0;1;0;;0;0;0;0;0;1;0;1;0
NA 85-1602;106;P4;05/05/25;;06/05/25;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 73-2596;107;P4;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 76-128;108;P2;05/05/25;;06/05/25;mSSCIR1;0;0;0;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 76-128;108;B1;05/05/25;;06/05/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;0;0;1;1;0;0
NA 76-128;108;B2;05/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 97-3152;110;B3;05/05/25;;06/05/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;0;0;0;1;0;0
NA 97-567;112;P5;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 97-567;112;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;1;0;0
NA 89-1090;114;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 89-1090;114;B1;05/05/25;;08/05/25;mSSCIR1;0;1;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 90-1001;115;B1;05/05/25;;06/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;1;0
NA 90-1001;115;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 90-1001;115;P4;05/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 98-597;116;P4;05/05/25;;06/05/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;0;0;0;0;1;1
NA 98-597;116;B1;05/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 02-2320;117;B1;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;1;0;1
NA 02-2320;117;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;1;0;0;1
NA 02-2320;117;P5;05/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 04-1613;119;B1;05/05/25;;06/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;0;0;0;1;0;0
NA 04-1613;119;B2;05/05/25;1,00;06/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;0;0;0;1;0;0
NA 04-1613;119;B2;05/05/25;2,00;06/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;0;0;0;0;0;0
NA 04-1613;119;B3;05/05/25;;08/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;1;1;0;0;0;0;0
NA 04-1613;119;B2;05/05/25;;08/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;1;1;0;0;0;0;0
NA 05-860;120;B3;05/05/25;;06/05/25;mSSCIR1;0;1;1;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 05-860;120;B2;05/05/25;;06/05/25;mSSCIR1;0;1;1;0;1;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 84-3013;121;B2;05/05/25;;06/05/25;mSSCIR1;0;0;0;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
LCP 85-384;125;B2;05/05/25;;06/05/25;mSSCIR1;0;0;1;0;0;;0;1;1;;0;0;0;0;0;1;1;1;0
LCP 85-384;125;P3;05/05/25;;06/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;1;1;0;0
LCP 85-384;125;P5;05/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
TUC 77-42;130;B1;05/05/25;;06/05/25;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;1;1;0;0
TUC 77-42;130;B3;05/05/25;;06/05/25;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;1;1;0;0
TUC 77-42;130;B2;05/05/25;;06/05/25;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;1;1;0;0
NA 03-559;100;P3;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 12-1621;102;P2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 85-1602;106;B1;08/05/25;;08/05/25;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 85-1602;106;P3;08/05/25;;08/05/25;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 73-2596;107;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;0;0;0
NA 73-2596;107;P2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;0;0;0
NA 76-128;108;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 76-128;108;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;1;;0;0;0;0;0;0;0;0;0
NA 78-639;109;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 78-639;109;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 97-567;112;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;1;0;0
NA 97-567;112;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;1;0;0
NA 98-597;116;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;1;;0;1;1;;0;0;0;0;0;1;0;0;0
NA 04-1613;119;P2;08/05/25;;08/05/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;1;1;0;0;0;0;0
LCP 85-384;125;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
LCP 85-384;125;P3;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
LCP 85-384;125;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;1;1;0;0;0
TUC 77-42;130;P3;08/05/25;;08/05/25;mSSCIR1;1;0;1;0;0;;0;1;1;;1;1;0;0;0;0;0;0;0
NA 88-1723;133;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 88-1723;133;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;1;0;;0;1;0;;0;0;0;0;0;0;0;0;0
TUC 69-2;139;B2;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
TUC 69-2;139;B1;08/05/25;;08/05/25;mSSCIR1;0;0;1;0;0;;0;1;0;;0;0;0;0;0;0;0;0;0
NA 12-1621;102;B1;24/04/25;;25/04/25;mSSCIR1;0;0;0;0;0;;0;1;0;;0;0;0;0;1;1;1;0;0
NA 05-2019;103;B1;24/04/25;;25/04/25;mSSCIR1;1;0;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 84-3920;104;B2;24/04/25;;25/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 87-146;105;B1;24/04/25;;25/04/25;mSSCIR1;1;1;1;0;1;;0;1;0;;0;0;0;0;0;1;1;0;0
NA 73-2596;107;B2;24/04/25;;25/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 12-166;111;B1;24/04/25;;25/04/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;1;0;0;1;1;1
NA 04-1613;119;B1;24/04/25;;25/04/25;mSSCIR1;0;0;0;1;0;;1;0;1;;0;0;0;1;0;0;0;0;0
NA 05-860;120;B1;24/04/25;;25/04/25;mSSCIR1;0;1;1;0;1;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 84-3013;121;B1;24/04/25;;25/04/25;mSSCIR1;0;0;0;0;0;;1;1;1;;0;0;0;0;1;1;0;0;0
NA 12-1621;102;P5;29/04/25;;29/04/25;mSSCIR1;0;0;1;0;0;;1;1;0;;0;0;0;0;0;1;0;0;0
NA 12-1621;102;B2;29/04/25;;29/04/25;mSSCIR1;0;0;1;0;0;;1;1;0;;0;0;0;0;0;1;0;0;0
NA 05-2019;103;B2;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 05-2019;103;P2;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;0;0;0
NA 84-3920;104;P2;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 87-146;105;P5;29/04/25;;29/04/25;mSSCIR1;0;0;1;0;1;;0;1;0;;0;0;0;0;0;1;1;0;0
NA 87-146;105;P3;29/04/25;;29/04/25;mSSCIR1;0;1;1;0;1;;0;1;0;;0;0;0;0;0;1;1;0;0
NA 12-166;111;B3;29/04/25;;29/04/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;1;0;0;1;1;1
NA 12-166;111;B3;29/04/25;;29/04/25;mSSCIR1;0;0;0;0;0;;0;1;1;;0;0;0;1;0;0;1;1;1
NA 96-2929;113;B3;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 96-2929;113;B2;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 96-2929;113;B1;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;1;1;0;0
NA 03-3300;118;B1;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 03-3300;118;B2;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 03-3300;118;B3;29/04/25;;29/04/25;mSSCIR1;0;0;1;1;0;;1;1;1;;0;0;0;0;0;0;1;0;0
NA 05-860;120;B1;29/04/25;;29/04/25;mSSCIR1;0;1;1;0;1;;0;1;1;;0;0;0;0;0;1;1;0;0
CP 70-1133;131;B1;29/04/25;;29/04/25;mSSCIR1;0;0;0;1;0;;0;1;1;;0;0;0;1;1;1;1;1;1
CP 70-1133;131;B3;29/04/25;;29/04/25;mSSCIR1;0;0;0;1;0;;0;1;1;;0;0;0;1;1;1;1;1;1
NA 03-559;100;P2;22/01/24;;23/01/24;NKS22;1;1;0;1;1;;0;1;0;0;;;;;;;;;
NA 03-559;100;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;1;;0;1;0;0;;;;;;;;;
NA 07-493;101;B2;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 07-493;101;B1;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 07-493;101;P2;22/01/24;;23/01/24;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 07-493;101;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 12-1621;102;P4;13/02/25;;17/02/25;NKS22;1;1;0;0;1;;0;0;0;0;;;;;;;;;
NA 12-1621;102;B1;19/02/25;;24/02/25;NKS22;1;1;0;0;1;;0;0;0;0;;;;;;;;;
NA 12-1621;102;P2;22/01/24;;23/01/24;NKS22;1;1;0;0;1;;0;0;0;0;;;;;;;;;
NA 12-1621;102;P2;30/01/24;;31/01/24;NKS22;1;1;0;0;1;;0;0;0;0;;;;;;;;;
NA 05-2019;103;P4;13/02/25;;17/02/25;NKS22;1;1;1;1;0;;0;0;0;0;;;;;;;;;
NA 05-2019;103;B1;11/02/25;;12/02/25;NKS22;1;1;1;1;0;;0;0;0;0;;;;;;;;;
NA 05-2019;103;P2;22/01/24;;23/01/24;NKS22;1;1;1;1;0;;0;0;0;0;;;;;;;;;
NA 05-2019;103;P2;30/01/24;;31/01/24;NKS22;1;1;1;1;0;;0;0;0;0;;;;;;;;;
NA 84-3920;104;P3;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 84-3920;104;B1;11/02/25;;12/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 84-3920;104;P2;22/01/24;;23/01/24;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 84-3920;104;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 87-146;105;P3;13/02/25;;17/02/25;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 87-146;105;P4;13/02/25;;17/02/25;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 87-146;105;B1;11/02/25;;17/02/25;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 87-146;105;P2;22/01/24;;23/01/24;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 87-146;105;P2;30/01/24;;31/01/24;NKS22;1;1;0;0;0;;0;0;0;0;;;;;;;;;
NA 85-1602;106;P4;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 85-1602;106;B1;11/02/25;;12/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 85-1602;106;P2;22/01/24;;23/01/24;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 85-1602;106;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 72-2596;107;P3;13/02/25;;17/02/25;NKS22;1;1;0;0;0;;1;0;0;0;;;;;;;;;
NA 72-2596;107;P4;13/02/25;;17/02/25;NKS22;1;1;0;0;0;;1;0;0;0;;;;;;;;;
NA 72-2596;107;B1;11/02/25;;12/02/25;NKS22;1;1;0;0;0;;1;0;0;0;;;;;;;;;
NA 73-2596;107;P2;22/01/24;;23/01/24;NKS22;1;1;0;0;0;;1;0;0;0;;;;;;;;;
NA 72-2596;107;P2;30/01/24;;31/01/24;NKS22;1;1;0;0;0;;1;0;0;0;;;;;;;;;
NA 76-128;108;B1;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 76-128;108;P5;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 76-128;108;P2;22/01/24;;23/01/24;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 76-128;108;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 78-639;109;B1;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 78-639;109;P10;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 78-639;109;P2;22/01/24;;23/01/24;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 78-639;109;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 97-3152;110;B4;13/02/25;;17/02/25;NKS22;1;1;0;1;1;;1;0;0;0;;;;;;;;;
NA 97-3152;110;B3;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 97-3152;110;B2;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 97-3152;110;P2;22/01/24;;23/01/24;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 97-3152;110;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 12-166;111;B1;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 12-166;111;B2;11/02/25;;12/02/25;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 12-166;111;P2;22/01/24;;23/01/24;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 12-166;111;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 97-567;112;B1;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
NA 97-567;112;P3;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
NA 97-567;112;P2;22/01/24;;23/01/24;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
NA 97-567;112;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;0;1;0;0;;;;;;;;;
NA 96-2929;113;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 96-2929;113;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 96-2929;113;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 96-2929;113;P2;30/01/24;;31/01/24;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 89-1090;114;P3;13/02/25;;17/02/25;NKS22;1;1;0;1;0;;1;0;1;0;;;;;;;;;
